IDLibro,Titolo,Autori,Casa_Editrice,Luogo_stampa,Anno_Pubblicazione,ISBN,Lingua,Genere,Data_Cat,Volumi,Numero
189BI23,"Il gabbiano azzurro","Brignetti Raffaello","Giulio Einaudi Editore",Torino,1967,,Italiano,"Giallo/Thriller, Narrativa",2023-03-22,Unico,189
190BM23,"Mi piaci da morire","Bosco Federica","Newton & Compton",Roma,2007,9788854103603,Italiano,"Sentimentale/Rosa, Narrativa",2023-03-22,Unico,190
191BP23,"Per la legalità","Borsellino Rita","La Scuola",Brescia,2007,9788835021292,Italiano,Storico,2023-03-22,Unico,191
192BL23,"Le Sirene","Boros Eva",Loganesi,Milano,1960,,Italiano,Narrativa,2023-03-22,Unico,192
193BS23,"Santa messa per i miei fucilati","Brignoli Pietro",Loganesi,Milano,1973,,Italiano,Storico,2023-03-22,Unico,193
194BP23,"Papà Goriot",Balzac,Garzanti,Italia,1992,8811580900,Italiano,Narrativa,2023-03-22,Unico,194
195BI23,"Il prezzo del progresso","Bulgakov Sergej N.",Marietti,"Casale Monferrato",1984,8821186148,Italiano,Filosofico,2023-03-22,Unico,195
196BR23,Rime,"Buonarroti Michelangelo","Fabbri Editori",Milano,1995,,Italiano,Raccolta,2023-03-22,Unico,196
197BL23,"La grande pioggia","Bromfield Louis",Mondadori,Italia,1940,,Italiano,Narrativa,2023-03-22,Unico,197
198BL23,"La vita agra","Bianciardi Luciano",Mondadori,Novara,1987,,Italiano,Autobiografia,2023-03-22,Unico,198
199BV23,"Vento dell'est: vento dell'ovest","Buck Pearl S.","La biblioteca di Repubblica",Barcellona,2003,8496142604,Italiano,Narrativa,2023-03-22,Unico,199
200BD23,"Dimmi da quanto è partito il treno","Baldwin James",Feltrinelli,Milano,1968,,Italiano,Narrativa,2023-03-22,Unico,200
201CM23,Marcovaldo,"Calvino Italo",Mondadori,Italia,2001,880437056,Italiano,Narrativa,2023-03-22,Unico,201
202CM23,Marcovaldo,"Calvino Italo",Garzanti,Italia,1990,,Italiano,Narrativa,2023-03-22,Unico,202
203CL23,"Lezioni Americane","Calvino Italo",Mondadori,Verona,2002,880448599X,Italiano,Saggio,2023-03-22,Unico,203
204CL23,"Le cosmicomiche","Calvino Italo",Mondadori,Milano,1993,8804376295,Italiano,Fantascienza,2023-03-22,Unico,204
205CL23,"Le città invisibili","Calvino Italo",Mondadori,Verona,2002,8804425547,Italiano,Narrativa,2023-03-22,Unico,205
206CL23,"Le città invisibili","Calvino Italo",Mondadori,Italia,1993,8894425547,Italiano,Narrativa,2023-03-22,Unico,206
207CM23,"Marx e la rivoluzione","Curi Umberto","La biblioteca di Repubblica",Roma,2011,,Italiano,Filosofico,2023-03-22,Unico,207
208CC23,"Concerto barocco","Carpentier Alejo","Giulio Einaudi Editore",Torino,1991,8806121774,Italiano,Narrativa,2023-03-22,Unico,208
209CC23,"Concerto barocco","Carpentier Alejo","Giulio Einaudi Editore",Torino,1991,8806121774,Italiano,Narrativa,2023-03-22,Unico,209
210CC23,"Concerto barocco","Carpentier Alejo","Giulio Einaudi Editore",Torino,1991,8806121774,Italiano,Narrativa,2023-03-22,Unico,210
211CC23,"Colazione da Tiffany","Capote Truman","La biblioteca di Repubblica",Barcellona,2002,848130509X,Italiano,Narrativa,2023-03-22,Unico,211
212CL23,"La lingua salvata","Canetti Elias","La biblioteca di Repubblica",Barcellona,2002,8481305413,Italiano,Storico,2023-03-22,Unico,212
213CL23,"La lingua salvata","Canetti Elias","La biblioteca di Repubblica",Barcellona,2002,8481305413,Italiano,Storico,2023-03-22,Unico,213
214CI23,"Immagini dal sogno","Cankar Ivan",Marietti,"Casale Monferrato",1983,8821161633,Italiano,Narrativa,2023-03-22,Unico,214
215CI23,"Il visconte dimezzato","Calvino Italo",Garzanti,Italia,1987,8811666767,Italiano,Narrativa,2023-03-22,Unico,215
